Cents,Adult sum (%),Children sum (%),ADULT 95 CI,CHILD 95 CI,ADULT HIGH,CHILD HIGH,ADULT LOW,CHILD LOW
-48,0.438535206,0.291100476,0.090379701,0.092225949,0.528914907,0.383326425,0.348155506,0.198874528
-45,0.464868816,0.336512151,0.072011859,0.112902945,0.536880675,0.449415095,0.392856957,0.223609206
-42,0.487977901,0.327196935,0.083062695,0.081727357,0.571040597,0.408924292,0.404915206,0.245469579
-39,0.528821867,0.308566505,0.095924998,0.081416788,0.624746865,0.389983293,0.432896868,0.227149716
-36,0.579876823,0.335347749,0.093882789,0.085617265,0.673759613,0.420965014,0.485994034,0.249730484
-33,0.64920408,0.345827366,0.103056751,0.103408923,0.752260831,0.449236289,0.546147329,0.242418443
-30,0.733579114,0.422677892,0.120258811,0.099904038,0.853837925,0.52258193,0.613320303,0.322773853
-27,0.778185023,0.420349088,0.135180268,0.112981105,0.913365291,0.533330193,0.643004755,0.307367982
-24,0.828165139,0.454116743,0.140186945,0.119479148,0.968352083,0.573595891,0.687978194,0.334637595
-21,0.939948623,0.49487081,0.143470962,0.123930297,1.083419585,0.618801107,0.79647766,0.370940513
-18,0.965744811,0.466925164,0.149801709,0.136545742,1.11554652,0.603470905,0.815943103,0.330379422
-15,0.994765523,0.506514829,0.152786579,0.129117621,1.147552102,0.63563245,0.841978945,0.377397208
-12,1.050657265,0.544940092,0.158828853,0.124867485,1.209486118,0.669807577,0.891828413,0.420072606
-9,1.104399325,0.540282484,0.188556656,0.143645354,1.292955981,0.683927838,0.915842669,0.39663713
-6,1.127508411,0.561241718,0.199146121,0.130352879,1.326654532,0.691594597,0.92836229,0.430888839
-3,1.132882617,0.607817794,0.205525386,0.146876349,1.338408002,0.754694144,0.927357231,0.460941445
0,1.381170932,0.863986214,0.290087339,0.178741437,1.671258271,1.04272765,1.091083593,0.685244777
3,1.187162097,0.599666981,0.213682303,0.123865882,1.400844399,0.723532863,0.973479794,0.475801099
6,1.149542655,0.548433297,0.215553961,0.132381464,1.365096616,0.680814761,0.933988694,0.416051833
9,1.052269527,0.528638465,0.201583407,0.142839005,1.253852934,0.67147747,0.85068612,0.38579946
12,0.932962155,0.572885737,0.17060629,0.149920465,1.103568445,0.722806202,0.762355865,0.422965272
15,0.951771876,0.556584111,0.186286111,0.144702606,1.138057987,0.701286717,0.765485765,0.411881504
18,0.860947795,0.514665642,0.178714288,0.121179961,1.039662083,0.635845603,0.682233507,0.393485681
21,0.797532165,0.472747173,0.140028752,0.125586836,0.937560917,0.59833401,0.657503413,0.347160337
24,0.726592646,0.463431958,0.152333211,0.113339874,0.878925857,0.576771832,0.574259435,0.350092084
27,0.672850586,0.450623537,0.12836178,0.123719198,0.801212366,0.574342736,0.544488806,0.326904339
30,0.616421424,0.409869471,0.115833335,0.094196729,0.732254759,0.5040662,0.500588088,0.315672741
33,0.574502617,0.42151349,0.113453842,0.103074825,0.687956459,0.524588314,0.461048775,0.318438665
36,0.525059922,0.402883059,0.127124076,0.104401485,0.652183998,0.507284544,0.397935846,0.298481574
39,0.503025678,0.416855882,0.104100032,0.105336759,0.60712571,0.522192641,0.398925646,0.311519123
42,0.429936477,0.360964591,0.08958033,0.094520981,0.519516807,0.455485572,0.340356147,0.266443609
45,0.410051915,0.32370373,0.10553938,0.074496008,0.515591294,0.398199738,0.304512535,0.249207721
48,0.38748025,0.362128992,0.100009236,0.092628332,0.487489486,0.454757324,0.287471013,0.26950066
51,0.34287434,0.281785261,0.08879235,0.082428216,0.431666691,0.364213477,0.25408199,0.199357045
54,0.335350452,0.294593682,0.084324949,0.083394491,0.419675401,0.377988173,0.251025503,0.211199191
57,0.322989778,0.301580093,0.082616827,0.088518705,0.405606605,0.390098798,0.240372952,0.213061389
60,0.282145813,0.282949663,0.08762491,0.082538339,0.369770723,0.365488002,0.194520903,0.200411324
63,0.259036727,0.256168419,0.066991707,0.073266288,0.326028434,0.329434707,0.19204502,0.182902131
66,0.237539904,0.234044783,0.062625036,0.079445273,0.30016494,0.313490056,0.174914867,0.15459951
69,0.223029547,0.218907558,0.068266056,0.0633135,0.291295603,0.282221058,0.154763492,0.155594058
72,0.197233359,0.235209185,0.052434404,0.076630902,0.249667763,0.311840086,0.144798955,0.158578283
75,0.197233359,0.185139903,0.058322527,0.059736633,0.255555886,0.244876536,0.138910832,0.12540327
78,0.199383041,0.200277128,0.059101411,0.059498513,0.258484452,0.259775641,0.140281631,0.140778615
81,0.190784312,0.189797511,0.060766227,0.081199221,0.251550539,0.270996732,0.130018085,0.108598289
84,0.178961059,0.166509472,0.049806989,0.079429343,0.228768048,0.245938816,0.12915407,0.087080129
87,0.1800359,0.17698909,0.054999937,0.072671342,0.235035837,0.249660432,0.125035963,0.104317748
90,0.168750067,0.189797511,0.075742238,0.069511248,0.244492305,0.259308758,0.093007829,0.120286263
93,0.176811376,0.181646697,0.058617864,0.070936585,0.23542924,0.252583283,0.118193513,0.110710112
96,0.181648162,0.160687463,0.071148647,0.064532721,0.252796808,0.225220184,0.110499515,0.096154742
