Cents,Both total,Adult Western (%),Adult non Western  (%),Child Western  (%),Child non-Western  (%),Both Total CI,Adult Wes CI,Adult Non CI,Child Wes CI,Child Non CI,Both Total High,Both Total Low,Adult Wes High,Adult Wes Low,Adult Non High,Adult Non Low,Child Wes high ,Child Wes Low,Child Non high,Child Non Low 
-48,0.3919766138,0.4446177847,0.4362211968,0.3295647,0.2866631708,0.06649735477,0.1427140906,0.1150702904,0.1871264988,0.09747367237,0.4584739685,0.325479259,0.5873318753,0.3019036941,0.5512914872,0.3211509064,0.5166911988,0.1424382012,0.3841368431,0.1891894984
-45,0.4243349083,0.4855694228,0.4569936347,0.320410125,0.3373536095,0.06722776017,0.1268948967,0.08640458263,0.1962980007,0.1361110712,0.4915626685,0.3571071482,0.6124643194,0.3586745261,0.4734646807,0.3705890521,0.5167081257,0.1241121242,0.4734646807,0.2012425384
-42,0.4372046846,0.4602184087,0.4985385106,0.3707602875,0.3233700402,0.0597443241,0.129013072,0.1073210497,0.1437501811,0.09883283597,0.4969490087,0.3774603605,0.5892314807,0.3312053367,0.4222028762,0.3912174609,0.5145104686,0.2270101063,0.4222028762,0.2245372042
-39,0.4592671582,0.5109204368,0.5356321498,0.3295647,0.3181262017,0.06625619693,0.1933713051,0.1030801342,0.1102294955,0.1109334234,0.5255233551,0.3930109612,0.7042917419,0.3175491317,0.4290596251,0.4325520156,0.4397941955,0.2193352044,0.4290596251,0.2071927783
-36,0.5026566895,0.5245709828,0.6009169548,0.4119558749,0.321622094,0.06753445468,0.1943703003,0.09734617774,0.16129216,0.09740930635,0.5701911442,0.4351222348,0.7189412831,0.3302006826,0.4190314004,0.503570777,0.573248035,0.2506637149,0.4190314004,0.2242127877
-33,0.5534003787,0.5752730109,0.6773298515,0.3890694375,0.3338577172,0.07596868794,0.1465465633,0.1348016668,0.1580895461,0.1345205693,0.6293690667,0.4774316908,0.7218195742,0.4287264476,0.4683782865,0.5425281846,0.5471589836,0.2309798913,0.4683782865,0.1993371479
-30,0.6353992388,0.6649765991,0.7596777305,0.4028012999,0.4439783255,0.08295490089,0.1932740868,0.1495474203,0.1732321765,0.1208189657,0.7183541397,0.552444338,0.8582506859,0.4717025123,0.5647972912,0.6101303101,0.5760334765,0.2295691234,0.5647972912,0.3231593598
-27,0.6651835782,0.7293291732,0.7967713696,0.393646725,0.449222164,0.09381215301,0.2473915742,0.156977981,0.2232164263,0.1231153193,0.7589957312,0.5713714252,0.9767207473,0.481937599,0.5723374832,0.6397933886,0.6168631513,0.1704302986,0.5723374832,0.3261068447
-24,0.7100439411,0.6630265211,0.8909892132,0.5080789124,0.4562139486,0.09850082493,0.2454745378,0.1643311909,0.1929677561,0.1518072876,0.808544766,0.6115431162,0.9085010588,0.4175519833,0.6080212362,0.7266580223,0.7010466685,0.3151111564,0.6080212362,0.304406661
-21,0.7993969591,0.7624804992,1.00746324,0.4897697624,0.5173920643,0.1036865732,0.2124191483,0.1771116269,0.2172871925,0.1500748115,0.9030835322,0.6957103859,0.9748996475,0.5500613509,0.6674668758,0.8303516133,0.707056955,0.2724825699,0.6674668758,0.3673172528
-18,0.8082219485,0.7663806552,1.041589388,0.5126561999,0.4736934102,0.1100483594,0.2209393053,0.1774698474,0.2184157662,0.1739849784,0.9182703079,0.698173589,0.9873199605,0.5454413499,0.6476783886,0.8641195409,0.7310719661,0.2942404338,0.6476783886,0.2997084319
-15,0.8405802431,0.7624804992,1.083134264,0.4348423124,0.5558468799,0.1095018886,0.2202853943,0.1845204628,0.2097352926,0.159096771,0.9500821316,0.7310783545,0.9827658935,0.5421951049,0.7149436509,0.8986138013,0.6445776051,0.2251070198,0.7149436509,0.3967501089
