Start(s),Pitch(Hz),Probability[0-1.0],Source
0.76626,311.56403,0.86581,TARSOS_YIN
0.78948,318.9072,0.99691,TARSOS_YIN
0.8127,319.73785,0.97357,TARSOS_YIN
0.83592,329.22153,0.94075,TARSOS_YIN
0.85914,329.0903,0.98969,TARSOS_YIN
0.88236,331.46014,0.99396,TARSOS_YIN
0.90558,335.52225,0.99409,TARSOS_YIN
0.9288,335.80414,0.99638,TARSOS_YIN
0.95202,337.74463,0.99585,TARSOS_YIN
0.97524,337.6824,0.9963,TARSOS_YIN
0.99846,336.48801,0.99782,TARSOS_YIN
1.02168,336.55118,0.99667,TARSOS_YIN
1.0449,334.87173,0.99608,TARSOS_YIN
1.06812,334.49026,0.99726,TARSOS_YIN
1.09134,334.32455,0.9976,TARSOS_YIN
1.11456,334.43555,0.99699,TARSOS_YIN
1.13778,334.13632,0.99795,TARSOS_YIN
1.161,336.80051,0.99687,TARSOS_YIN
1.18422,336.67926,0.99795,TARSOS_YIN
1.20744,335.19116,0.99562,TARSOS_YIN
1.23066,330.93417,0.99351,TARSOS_YIN
1.25388,324.56491,0.99378,TARSOS_YIN
1.2771,317.20432,0.98773,TARSOS_YIN
1.30032,302.18884,0.97259,TARSOS_YIN
1.32354,286.06232,0.96626,TARSOS_YIN
1.34676,278.14166,0.97388,TARSOS_YIN
1.36998,274.8537,0.98191,TARSOS_YIN
1.3932,273.62274,0.99088,TARSOS_YIN
1.41642,274.06378,0.98992,TARSOS_YIN
1.43964,273.51828,0.99138,TARSOS_YIN
1.46286,272.37097,0.99023,TARSOS_YIN
1.48608,268.57935,0.97033,TARSOS_YIN
1.60218,322.98029,0.88158,TARSOS_YIN
1.6254,309.28149,0.96986,TARSOS_YIN
1.64862,304.31882,0.98353,TARSOS_YIN
1.67184,304.26587,0.98806,TARSOS_YIN
1.69506,306.97321,0.98652,TARSOS_YIN
1.71828,307.32492,0.98846,TARSOS_YIN
1.7415,304.24832,0.99047,TARSOS_YIN
1.76472,300.26358,0.98203,TARSOS_YIN
1.78794,293.74368,0.9129,TARSOS_YIN
1.92726,367.78772,0.90783,TARSOS_YIN
1.95048,358.0946,0.96101,TARSOS_YIN
1.9737,341.96219,0.96999,TARSOS_YIN
1.99692,334.95468,0.99141,TARSOS_YIN
2.02014,335.13843,0.98935,TARSOS_YIN
2.04336,335.04037,0.99252,TARSOS_YIN
2.06658,333.74615,0.99445,TARSOS_YIN
2.0898,332.84436,0.99245,TARSOS_YIN
2.11302,331.91245,0.98918,TARSOS_YIN
2.13624,330.29541,0.99218,TARSOS_YIN
2.15946,330.08374,0.99248,TARSOS_YIN
2.18268,330.76355,0.98677,TARSOS_YIN
2.2059,330.0275,0.98751,TARSOS_YIN
2.22912,331.5538,0.92582,TARSOS_YIN
2.25234,339.82532,0.99517,TARSOS_YIN
2.27556,346.37485,0.98802,TARSOS_YIN
2.29878,333.75967,0.93425,TARSOS_YIN
2.62385,373.28104,0.87707,TARSOS_YIN
2.64707,367.50851,0.92996,TARSOS_YIN
2.67029,357.66461,0.97759,TARSOS_YIN
2.69351,355.97754,0.98785,TARSOS_YIN
2.71673,351.05313,0.98862,TARSOS_YIN
2.73995,350.41904,0.9888,TARSOS_YIN
2.76317,346.02957,0.98188,TARSOS_YIN
2.78639,333.93433,0.91439,TARSOS_YIN
2.94893,284.13794,0.97652,TARSOS_YIN
2.97215,278.72778,0.84993,TARSOS_YIN
2.99537,278.85913,0.89674,TARSOS_YIN
3.01859,273.8912,0.95126,TARSOS_YIN
3.04181,274.53625,0.99367,TARSOS_YIN
3.06503,274.62979,0.9867,TARSOS_YIN
3.08825,273.72089,0.9929,TARSOS_YIN
3.11147,275.68076,0.99619,TARSOS_YIN
3.13469,277.86737,0.99659,TARSOS_YIN
3.15791,280.99792,0.99636,TARSOS_YIN
3.18113,281.91992,0.99617,TARSOS_YIN
3.20435,277.06204,0.96213,TARSOS_YIN
3.32045,288.9765,0.96538,TARSOS_YIN
3.34367,275.76492,0.98355,TARSOS_YIN
3.36689,276.83636,0.87923,TARSOS_YIN
3.45977,290.54257,0.9904,TARSOS_YIN
3.48299,285.31909,0.99141,TARSOS_YIN
3.50621,283.35977,0.99529,TARSOS_YIN
3.52943,284.24829,0.9965,TARSOS_YIN
3.55265,279.86365,0.93412,TARSOS_YIN
3.57587,281.75113,0.98392,TARSOS_YIN
3.59909,282.26154,0.98412,TARSOS_YIN
3.62231,273.31506,0.86777,TARSOS_YIN
3.71519,376.96805,0.87463,TARSOS_YIN
3.73841,379.79202,0.99355,TARSOS_YIN
3.76163,381.74149,0.99588,TARSOS_YIN
3.78485,381.54807,0.99664,TARSOS_YIN
3.80807,383.67725,0.99617,TARSOS_YIN
3.83129,386.17487,0.99129,TARSOS_YIN
3.85451,387.41238,0.99329,TARSOS_YIN
3.87773,379.94302,0.97096,TARSOS_YIN
3.90095,375.93552,0.99635,TARSOS_YIN
3.92417,373.05923,0.99591,TARSOS_YIN
3.94739,364.91824,0.92528,TARSOS_YIN
3.97061,384.0484,0.94274,TARSOS_YIN
4.01705,380.06577,0.82989,TARSOS_YIN
4.08671,344.20245,0.92036,TARSOS_YIN
4.10993,331.67688,0.99568,TARSOS_YIN
4.13315,330.06824,0.99669,TARSOS_YIN
4.15637,330.98322,0.99665,TARSOS_YIN
4.17959,333.70004,0.99633,TARSOS_YIN
4.20281,335.8316,0.99602,TARSOS_YIN
4.22603,337.37741,0.99513,TARSOS_YIN
4.24925,337.83365,0.99548,TARSOS_YIN
4.27247,336.96484,0.99688,TARSOS_YIN
4.29569,337.45517,0.99536,TARSOS_YIN
4.31891,337.50748,0.99489,TARSOS_YIN
4.34213,337.56689,0.99493,TARSOS_YIN
4.36535,337.19745,0.99611,TARSOS_YIN
4.38857,338.30801,0.99521,TARSOS_YIN
4.41179,340.13373,0.99536,TARSOS_YIN
4.43501,340.24969,0.9959,TARSOS_YIN
4.45823,339.48572,0.99466,TARSOS_YIN
4.48145,336.93423,0.99404,TARSOS_YIN
4.50467,327.38739,0.98653,TARSOS_YIN
4.52789,313.89752,0.96938,TARSOS_YIN
4.55111,292.66666,0.95826,TARSOS_YIN
4.57433,280.95309,0.98123,TARSOS_YIN
4.59755,274.67392,0.98318,TARSOS_YIN
4.62077,273.86038,0.98195,TARSOS_YIN
4.64399,275.92426,0.9864,TARSOS_YIN
4.66721,279.33868,0.98959,TARSOS_YIN
4.69043,283.66,0.98915,TARSOS_YIN
4.71365,289.61157,0.99251,TARSOS_YIN
4.73687,295.70575,0.97739,TARSOS_YIN
5.06195,365.16092,0.80696,TARSOS_YIN
5.08517,343.45068,0.98913,TARSOS_YIN
5.10839,336.61859,0.95244,TARSOS_YIN
5.13161,330.90317,0.97528,TARSOS_YIN
5.15483,327.00345,0.99227,TARSOS_YIN
5.17805,327.52597,0.98827,TARSOS_YIN
5.20127,327.21817,0.99388,TARSOS_YIN
5.22449,327.67215,0.99365,TARSOS_YIN
5.24771,327.36737,0.99503,TARSOS_YIN
5.27093,326.35553,0.99465,TARSOS_YIN
5.29415,326.96741,0.99546,TARSOS_YIN
5.31737,327.88293,0.99282,TARSOS_YIN
5.34059,328.06018,0.99135,TARSOS_YIN
5.36381,327.19073,0.99579,TARSOS_YIN
5.38703,328.56772,0.99567,TARSOS_YIN
5.41025,329.32281,0.99205,TARSOS_YIN
5.43347,330.72116,0.99336,TARSOS_YIN
5.45669,327.78842,0.99332,TARSOS_YIN
5.47991,323.32681,0.99224,TARSOS_YIN
5.50313,315.46881,0.98646,TARSOS_YIN
5.52635,310.83157,0.98805,TARSOS_YIN
5.54957,293.43362,0.97445,TARSOS_YIN
5.57279,278.10492,0.95375,TARSOS_YIN
5.59601,267.82059,0.98646,TARSOS_YIN
5.61923,265.42615,0.98634,TARSOS_YIN
5.64245,268.68494,0.9788,TARSOS_YIN
5.66567,273.46445,0.98828,TARSOS_YIN
5.68889,273.37299,0.98817,TARSOS_YIN
5.71211,273.20715,0.93193,TARSOS_YIN
5.82821,311.93268,0.87904,TARSOS_YIN
5.85143,299.39569,0.98485,TARSOS_YIN
5.87465,297.23737,0.98998,TARSOS_YIN
5.89787,296.22885,0.99319,TARSOS_YIN
5.92109,298.19308,0.99102,TARSOS_YIN
5.94431,299.57916,0.99069,TARSOS_YIN
5.96753,298.68274,0.99148,TARSOS_YIN
5.99075,298.98624,0.98611,TARSOS_YIN
6.13007,341.10831,0.88015,TARSOS_YIN
6.15329,332.02716,0.9691,TARSOS_YIN
6.17651,319.56433,0.98746,TARSOS_YIN
6.19973,318.11597,0.99267,TARSOS_YIN
6.22295,318.62143,0.98932,TARSOS_YIN
6.24617,321.35202,0.99459,TARSOS_YIN
6.26939,322.73413,0.99463,TARSOS_YIN
6.29261,322.11658,0.99658,TARSOS_YIN
6.31583,323.37436,0.99393,TARSOS_YIN
6.33905,324.30261,0.99283,TARSOS_YIN
6.36227,323.10828,0.9903,TARSOS_YIN
6.38549,324.8222,0.99022,TARSOS_YIN
6.40871,323.13681,0.88461,TARSOS_YIN
6.43193,336.93729,0.99509,TARSOS_YIN
6.45515,340.35333,0.98927,TARSOS_YIN
6.47837,331.3887,0.92134,TARSOS_YIN
6.82667,351.80573,0.89455,TARSOS_YIN
6.84989,335.97443,0.97477,TARSOS_YIN
6.87311,331.14856,0.80838,TARSOS_YIN
6.89633,327.10834,0.9889,TARSOS_YIN
6.91955,331.95377,0.9882,TARSOS_YIN
6.94277,334.22986,0.98939,TARSOS_YIN
6.96599,331.49774,0.9905,TARSOS_YIN
6.98921,326.30096,0.97351,TARSOS_YIN
7.01243,318.86334,0.85411,TARSOS_YIN
7.05887,326.39304,0.86131,TARSOS_YIN
7.08209,328.90604,0.81344,TARSOS_YIN
7.10531,323.96408,0.88132,TARSOS_YIN
7.15175,271.16742,0.98133,TARSOS_YIN
