cents,"Ireland: old-style (sean-nós) song ""Geaftai Bhaile Bui"" ('At the gates of Yellow Town')",05 Jong bura ii (Chanson sur les bateaux et les avions...)
-48,0.4936681691,0.9137055838
-45,0.7726980039,0.9137055838
-42,0.6653788367,0.7106598985
-39,0.9014810045,1.218274112
-36,0.6439150032,1.015228426
-33,0.7512341704,0.7106598985
-30,1.330757673,0.9137055838
-27,1.652715175,0.8121827411
-24,1.438076841,0.6091370558
-21,1.845889676,0.7106598985
-18,2.146383344,1.52284264
-15,1.781498176,0.8121827411
-12,2.232238678,1.624365482
-9,2.167847178,1.218274112
-6,2.232238678,0.8121827411
-3,2.210774844,1.015228426
0,2.017600343,1.827411168
3,1.867353509,0.9137055838
6,1.867353509,0.5076142132
9,1.588323675,0.3045685279
12,1.352221507,1.52284264
15,1.137583172,0.5076142132
18,0.7941618373,0.8121827411
21,0.729770337,0.2030456853
24,0.4507405023,0.4060913706
27,0.6653788367,0.4060913706
30,0.7512341704,0.2030456853
33,0.4507405023,0.2030456853
36,0.3863490019,0
39,0.2790298347,0.5076142132
42,0.2146383344,0
45,0.2575660013,0.1015228426
48,0.2146383344,0
51,0.1287830006,0.1015228426
54,0.1502468341,0.1015228426
57,0.2361021678,0.1015228426
60,0.08585533376,0
63,0.1287830006,0
66,0.1073191672,0
69,0.1287830006,0.1015228426
72,0.04292766688,0
75,0.06439150032,0.2030456853
78,0.1073191672,0
81,0.04292766688,0
84,0.1073191672,0.1015228426
87,0.02146383344,0
90,0.04292766688,0
93,0.08585533376,0.2030456853
96,0.04292766688,0
99,0.06439150032,0.3045685279
102,0.08585533376,0
105,0.1073191672,0.1015228426
108,0.06439150032,0.1015228426
111,0.04292766688,0.1015228426
114,0.1502468341,0.2030456853
117,0.08585533376,0.3045685279
120,0.1502468341,0.1015228426
123,0.04292766688,0.1015228426
126,0.1287830006,0.3045685279
129,0.08585533376,0.2030456853
132,0.1502468341,0.1015228426
135,0.1717106675,0.7106598985
138,0.2146383344,0.1015228426
141,0.2790298347,0.3045685279
144,0.193174501,0.1015228426
147,0.3004936682,0.4060913706
150,0.2575660013,0.7106598985
153,0.2790298347,0.4060913706
156,0.3219575016,0.7106598985
159,0.3004936682,0.7106598985
162,0.1502468341,0.9137055838
165,0.2575660013,0.8121827411
168,0.2575660013,0.3045685279
171,0.193174501,0.4060913706
174,0.193174501,0.3045685279
177,0.4936681691,0.6091370558
180,0.4507405023,0.8121827411
183,0.4507405023,0.3045685279
186,0.3219575016,0.8121827411
189,0.2575660013,0.2030456853
192,0.4292766688,0.5076142132
195,0.536595836,0.3045685279
198,0.3863490019,0.2030456853
201,0.3648851685,0.6091370558
204,0.2361021678,0.5076142132
207,0.3004936682,0.1015228426
210,0.193174501,0.3045685279
213,0.1717106675,0.2030456853
216,0.193174501,0
219,0.2575660013,0
222,0.2361021678,0.2030456853
225,0.193174501,0.1015228426
228,0.08585533376,0
231,0.08585533376,0.2030456853
234,0.06439150032,0.2030456853
237,0.08585533376,0
240,0.06439150032,0.2030456853
243,0.08585533376,0
246,0.06439150032,0.2030456853
249,0.02146383344,0.1015228426
252,0.02146383344,0.1015228426
255,0.04292766688,0.1015228426
258,0.04292766688,0.1015228426
261,0.02146383344,0
264,0.08585533376,0.1015228426
267,0.04292766688,0
270,0.08585533376,0
273,0.02146383344,0
276,0,0
279,0.04292766688,0.2030456853
282,0.1073191672,0
285,0.08585533376,0
288,0.04292766688,0
291,0.08585533376,0.3045685279
294,0.1717106675,0.2030456853
297,0.06439150032,0.1015228426
300,0.08585533376,0
